id	Codigo_MesoRegiao	Nome_MesoRegiao	Codigo_MicroRegiao	Nome_MicroRegiao	Municipio	Populacao2014
1	1	"Noroeste de Minas"	1	Unai	Arinos	18.210
2	1	"Noroeste de Minas"	1	Unai	"Bonfinopolis de Minas"	5.867
3	1	"Noroeste de Minas"	1	Unai	Buritis	24.169
4	1	"Noroeste de Minas"	1	Unai	"Cabeceira Grande"	6.818
5	1	"Noroeste de Minas"	1	Unai	"Dom Bosco"	3.857
6	1	"Noroeste de Minas"	1	Unai	Formoso	8.945
7	1	"Noroeste de Minas"	1	Unai	Natalandia	3.377
8	1	"Noroeste de Minas"	1	Unai	Unai	82.298
9	1	"Noroeste de Minas"	1	Unai	"Uruana de Minas"	3.336
10	1	"Noroeste de Minas"	2	Paracatu	"Brasilandia de Minas"	15.522
11	1	"Noroeste de Minas"	2	Paracatu	Guarda-Mor	6.739
12	1	"Noroeste de Minas"	2	Paracatu	"Joao Pinheiro"	47.870
13	1	"Noroeste de Minas"	2	Paracatu	Lagamar	7.800
14	1	"Noroeste de Minas"	2	Paracatu	"Lagoa Grande"	9.216
15	1	"Noroeste de Minas"	2	Paracatu	Paracatu	90.294
16	1	"Noroeste de Minas"	2	Paracatu	"Presidente Olegario"	19.398
17	1	"Noroeste de Minas"	2	Paracatu	"Sao Goncalo do Abaete"	6.717
18	1	"Noroeste de Minas"	2	Paracatu	"Varjao de Minas"	6.662
19	1	"Noroeste de Minas"	2	Paracatu	Vazante	20.580
20	2	"Norte de Minas"	3	Januaria	"Bonito de Minas"	10.535
21	2	"Norte de Minas"	3	Januaria	"Chapada Gaucha"	12.239
22	2	"Norte de Minas"	3	Januaria	"Conego Marinho"	7.515
23	2	"Norte de Minas"	3	Januaria	"Icarai de Minas"	11.524
24	2	"Norte de Minas"	3	Januaria	Itacarambi	18.350
25	2	"Norte de Minas"	3	Januaria	Januaria	68.065
26	2	"Norte de Minas"	3	Januaria	Juvenilia	5.862
27	2	"Norte de Minas"	3	Januaria	Manga	19.757
28	2	"Norte de Minas"	3	Januaria	"Matias Cardoso"	10.717
29	2	"Norte de Minas"	3	Januaria	Miravania	4.803
30	2	"Norte de Minas"	3	Januaria	Montalvania	15.875
31	2	"Norte de Minas"	3	Januaria	"Pedras de Maria da Cruz"	11.084
32	2	"Norte de Minas"	3	Januaria	Pintopolis	7.516
33	2	"Norte de Minas"	3	Januaria	"Sao Francisco"	56.217
34	2	"Norte de Minas"	3	Januaria	"Sao Joao das Missoes"	12.539
35	2	"Norte de Minas"	3	Januaria	Urucuia	15.266
36	2	"Norte de Minas"	4	Janauba	Catuti	5.187
